id_siniestro,id_poliza,id_asegurado,ramo,placa,cobertura,fecha_ocurrencia,fecha_reporte,dias_ocurrencia_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,id_proveedor,descripcion,docs_completos,proveedor_lista_restrictiva,dias_desde_inicio_poliza,dias_hasta_fin_poliza,historial_siniestros_asegurado,suma_asegurada,similitud_narrativa,numero_parte_policial,fecha_inicio_poliza,fecha_fin_poliza,prima_anual,canal_venta,estado_poliza,nombres_asegurado,segmento,ciudad,antiguedad_anios,n_polizas_activas,n_reclamos_12_meses,n_reclamos_historico,reclamos_rc_sin_tercero,perfil_riesgo_historico,nombre_proveedor,tipo_proveedor,ciudad_proveedor,n_siniestros_proveedor,proveedor_en_lista_restrictiva,motivo_restriccion,promedio_monto_proveedor,cantidad_documentos,cantidad_declaraciones,cantidad_denuncia_policial,cantidad_exámenes,cantidad_facturas,cantidad_factura_de_reparacion,cantidad_factura_hospitalaria,cantidad_fotografías,cantidad_fotografías_del_daño,cantidad_historia_clínica,cantidad_informe_tecnico,cantidad_orden_medica,cantidad_partes_policiales,cantidad_peritaje,ratio_monto_suma,delta_monto_proveedor,alerta_borde_inicio,alerta_borde_fin,reporte_tardio,narrativa_similar,narrativa_clonada,doc_factura_alterada,doc_ruc_invalido,doc_caso_fraude,doc_caso_inconsistente,doc_parte_tardio_dias,doc_sin_denuncia_previa,doc_robo,doc_perdida_total,doc_flagrancia,doc_lesionados,doc_detenidos,doc_tercero_identificado,doc_sin_testigos,doc_sin_intervencion,doc_hora_accidente,doc_fecha_factura_min,n_pdfs_extraidos,tipos_pdf,doc_parte_tardio,alerta_similitud_sin_testigos,alerta_robo_sin_denuncia,alerta_proveedor_fraude_documental,score_documental_raw,nlp_freq_descripcion,nlp_descripcion_rara,nlp_descripcion_comun,nlp_grupo_id,nlp_sim_entre_grupos,nlp_cluster_fraude,nlp_score,nlp_valida_excel
SIN-0001,POL-0001,ASEG-0010,Vehículos,MNT-7384,Choque,2025-06-27,2025-06-27,0,5528,5268,5083,Liquidado,Portoviejo,TALLER-007,"Golpe trasero en cola de tráfico, testigos presentes.",True,False,321,44,0,20000,0.15,,2024-08-10,2025-08-10,564,Broker,Expirada,García Morales Luis Eduardo,Natural,Quito,7,1,2,2,2,Medio,Multiservicios Automotrices EC,Automotriz,Ambato,17,False,No,,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0.2764,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,0.0,19,False,True,0,0.0752,-1,18.6,False
SIN-0002,POL-0002,ASEG-0171,Hogar,,Daño por Agua,2024-08-20,2024-08-21,1,14139,11761,0,Pago Parcial,Portoviejo,PROV-020,Humedad por filtración desde techo.,False,False,72,293,0,40000,0.65,,2024-06-09,2025-06-09,1195,Broker,Expirada,Pérez Vásquez Ana Lucía,Natural,Riobamba,8,1,0,2,1,Medio,Servicios Generales GYE,Servicios,Esmeraldas,17,False,No,,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0.3535,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,8,False,False,1,0.0,-1,48.9,True
SIN-0003,POL-0003,ASEG-0158,Vehículos,CHB-4472,Robo de Accesorios,2025-01-09,2025-01-10,1,8084,7775,7254,Liquidado,Ambato,TALLER-020,Robo de airbags y pantalla en parqueadero.,True,False,167,198,0,28000,0.25,,2024-07-26,2025-07-26,831,Digital,Expirada,Torres Espinoza Carlos Andrés,Natural,Ambato,5,1,0,2,1,Medio,Taller Quito Sur Cía.,Automotriz,Guayaquil,24,False,No,,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0.2887,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,0.0,18,False,True,2,0.1055,-1,25.2,False
SIN-0004,POL-0004,ASEG-0169,Vehículos,RIO-2918,Choque,2024-10-14,2024-10-14,0,22832,18155,0,Reserva,Ambato,TALLER-003,Impacto lateral en intersección con semáforo.,False,False,24,341,0,30000,0.88,,2024-09-20,2025-09-20,681,Agente,Expirada,Rodríguez Cárdenas María José,Natural,Loja,4,3,0,2,0,Medio,Mecánica Imbabura S.A.,Automotriz,Manta,26,False,No,,4,0,0,0,1,1,0,0,1,0,0,0,0,1,0.7611,,True,False,False,True,True,True,True,True,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,75.0,13,False,True,3,0.208,-1,67.2,True
SIN-0005,POL-0005,ASEG-0103,Vehículos,AZY-7734,Robo,2024-12-26,2024-12-31,5,6994,3602,0,Investigación,Cuenca,TALLER-004,Robo con violencia en domicilio.,False,False,25,340,0,8000,0.44,PTACP20260492817,2024-12-01,2025-12-01,244,Broker,Expirada,López Guerrero Juan Pablo,Natural,Riobamba,1,1,1,2,0,Medio,Servicio Express Loja,Automotriz,Ibarra,24,False,No,,4,0,0,0,1,1,0,0,1,0,0,0,1,0,0.8742,,True,False,False,False,False,True,True,True,False,5.0,True,True,True,False,False,False,False,True,False,False,True,2,Factura|Parte Policial,False,False,True,False,100.0,30,False,True,4,0.1055,-1,43.7,False
SIN-0006,POL-0006,ASEG-0194,Vehículos,MNT-7384,Pérdida Total,2025-02-16,2025-02-27,11,19430,11331,0,Reserva,Portoviejo,TALLER-888,Vehículo destruido en accidente de tránsito.,False,True,44,321,0,28000,0.49,,2025-01-03,2026-01-03,671,Agente,Expirada,Martínez Alvarado Rosa Elena,Natural,Cuenca,4,2,1,2,1,Medio,Taller Anónimo Manta — Documentos alterados,Automotriz,Ambato,10,True,Sí,,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0.6939,,False,False,True,False,False,True,True,True,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,True,75.0,10,False,True,5,0.109,-1,38.6,False
SIN-0007,POL-0007,ASEG-0061,Vehículos,GYE-8371,Responsabilidad Civil,2025-02-23,2025-02-25,2,3576,3482,3202,Pago Total,Loja,TALLER-017,Colisión en rotonda con vehículo de tercero.,True,False,256,109,0,28000,0.09,,2024-06-12,2025-06-12,536,Digital,Expirada,Freire Castillo Marco Antonio,Natural,Loja,7,1,1,9,2,Alto,Mecánica Manabí,Automotriz,Ibarra,19,False,No,,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0.1277,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,0.0,15,False,True,6,0.1095,-1,12.7,False
SIN-0008,POL-0008,ASEG-0100,Vehículos,GYE-8371,Robo de Accesorios,2025-09-23,2025-09-24,1,11697,12211,11359,Liquidado,Quito,TALLER-020,Robo de accesorios en zona residencial.,True,False,240,125,0,30000,0.24,,2025-01-26,2026-01-26,700,Bancaseguros,Expirada,Sánchez Herrera Diego Alejandro,Natural,Cuenca,6,3,2,5,1,Alto,Taller Quito Sur Cía.,Automotriz,Guayaquil,24,False,No,,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3899,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,0.0,16,False,True,7,0.1055,-1,23.7,False
SIN-0009,POL-0009,ASEG-0125,Vehículos,CHB-4472,Choque,2024-06-26,2024-06-26,0,13749,7434,0,Negativa,Ibarra,TALLER-006,Impacto lateral en intersección con semáforo.,False,False,5,360,0,22000,0.81,,2024-06-21,2025-06-21,619,Agente,Expirada,Ramírez Peñafiel Carmen Susana,Natural,Loja,8,3,1,2,1,Medio,Auto Service Quito Norte,Automotriz,Guayaquil,15,False,No,,4,0,0,0,1,1,0,0,1,0,0,0,0,1,0.625,,True,False,False,True,False,True,True,True,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,75.0,13,False,True,3,0.208,-1,62.3,False
SIN-0010,POL-0010,ASEG-0084,Vehículos,GYE-4837,Responsabilidad Civil,2024-07-30,2024-08-01,2,9899,9557,9155,Liquidado,Ibarra,TALLER-001,Colisión en rotonda con vehículo de tercero.,True,False,69,296,0,22000,0.18,,2024-05-22,2025-05-22,474,Bancaseguros,Expirada,Flores Castillo Roberto Antonio,Natural,Riobamba,6,3,2,5,0,Alto,Taller El Norte Cía. Ltda.,Automotriz,Ambato,11,False,No,,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.45,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,0.0,15,False,True,6,0.1095,-1,19.0,False
