tipo_documento,archivo_pdf,id_siniestro,proveedor,ruc,ruc_invalido,fecha_factura,numero_factura,cliente,placa,subtotal,iva,total,factura_alterada,caso_marcado,texto_extraido,ruta_pdf,id_documento,numero_parte,fecha_elaboracion,fecha_hecho,hora_hecho,lugar,tipo_accidente,consecuencias,flagrancia,robo,perdida_total,lesionados,detenidos,sin_denuncia_previa,sin_testigos,parte_tardio_dias,placa_asegurado,observaciones,nombre_asegurado,poliza,fecha_accidente,hora_accidente,danos_declarados,relato,velocidad_kmh,tercero_identificado,placa_tercero,sin_intervencion_policial
Factura,Muestras_Facturas_Siniestros- SIN-0001.pdf,SIN-0001,MULTISERVICIOS AUTOMOTRICES EC,1792293312001,False,2025-07-17,001-002-747311022,García Morales Luis Eduardo,MNT-7384,4806.96,721.04,5528.0,False,Legítimo,"Subtotal 15%
$4806.96
IVA 15%
$721.04
TOTAL A PAGAR
$5528.00
MULTISERVICIOS AUTOMOTRICES EC
Servicios Automotrices Integrales
RUC: 1792293312001
Quito, Ecuador
Tel: (02) 2572227 
FACTURA
Nº: 001-002-747311022
Fecha: 2025-07-17
Siniestro Ref: SIN-0001 
Cliente:
García Morales Luis Eduardo
Placa:
MNT-7384
C.I./RUC:
1719536045
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0001)
$2884.18
$2884.18
1
Repuestos originales y mano de o",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros- SIN-0001.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros- SIN-0003.pdf,SIN-0003,TALLER QUITO SUR CÍA.,1792718420001,False,2025-07-26,001-002-365818154,Torres Espinoza Carlos Andrés,CHB-4472,7029.57,1054.43,8084.0,False,Legítimo,"Subtotal 15%
$7029.57
IVA 15%
$1054.43
TOTAL A PAGAR
$8084.00
TALLER QUITO SUR CÍA.
Servicios Automotrices Integrales
RUC: 1792718420001
Quito, Ecuador
Tel: (02) 2386996 
FACTURA
Nº: 001-002-365818154
Fecha: 2025-07-26
Siniestro Ref: SIN-0003 
Cliente:
Torres Espinoza Carlos Andrés
Placa:
CHB-4472
C.I./RUC:
1758341557
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0003)
$4217.74
$4217.74
1
Repuestos originales y mano de obra
me",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros- SIN-0003.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0004.pdf,SIN-0004,MECÁNICA IMBABURA S.A.,123456789 - INVÁLIDO,True,2025-07-10,001-002-642663860,Rodríguez Cárdenas María José,RIO-2918,19853.91,2978.09,34248.0,True,Fraude,"Subtotal 15%
$19853.91
IVA 15%
$2978.09
TOTAL A PAGAR
$34248.00
MECÁNICA IMBABURA S.A.
Servicios Automotrices Integrales
RUC: 123456789 - INVÁLIDO
Quito, Ecuador
Tel: (02) 2579081 
FACTURA
Nº: 001-002-642663860
Fecha: 2025-07-10
Siniestro Ref: SIN-0004 
Cliente:
Rodríguez Cárdenas
María José
Placa:
RIO-2918
C.I./RUC:
1797506931
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0004)
$11912.35
$11912.35
1
Repuestos originales y man",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0004.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0005.pdf,SIN-0005,SERVICIO EXPRESS LOJA,123456789 - INVÁLIDO,True,2025-07-13,001-002-562666648,López Guerrero Juan Pablo,AZY-7734,6081.74,912.26,10491.0,True,Fraude,"Subtotal 15%
$6081.74
IVA 15%
$912.26
TOTAL A PAGAR
$10491.00
SERVICIO EXPRESS LOJA
Servicios Automotrices Integrales
RUC: 123456789 - INVÁLIDO
Quito, Ecuador
Tel: (02) 2661962 
FACTURA
Nº: 001-002-562666648
Fecha: 2025-07-13
Siniestro Ref: SIN-0005 
Cliente:
López Guerrero Juan
Pablo
Placa:
AZY-7734
C.I./RUC:
1795557883
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0005)
$3649.04
$3649.04
1
Repuestos originales y mano de obra",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0005.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0006.pdf,SIN-0006,DOCUMENTOS ALTERADOS,123456789 - INVÁLIDO,True,2025-07-17,001-002-410191834,Martínez Alvarado Rosa Elena,MNT-7384,16895.65,2534.35,29145.0,True,Fraude,"Subtotal 15%
$16895.65
IVA 15%
$2534.35
TOTAL A PAGAR
$29145.00
TALLER ANÓNIMO MANTA —
DOCUMENTOS ALTERADOS
Servicios Automotrices Integrales
RUC: 123456789 - INVÁLIDO
Quito, Ecuador
Tel: (02) 2863108 
FACTURA
Nº:
001-002-410191834
Fecha: 2025-07-17
Siniestro Ref:
SIN-0006 
Cliente:
Martínez Alvarado Rosa
Elena
Placa:
MNT-7384
C.I./RUC:
1772758728
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0006)
$10137.39
$10137.39
1
Repues",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0006.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0007.pdf,SIN-0007,MECÁNICA MANABÍ,1792912240001,False,2025-07-28,001-002-651605673,Freire Castillo Marco Antonio,GYE-8371,3109.57,466.43,3576.0,False,Legítimo,"Subtotal 15%
$3109.57
IVA 15%
$466.43
TOTAL A PAGAR
$3576.00
MECÁNICA MANABÍ
Servicios Automotrices Integrales
RUC: 1792912240001
Quito, Ecuador
Tel: (02) 2136237 
FACTURA
Nº: 001-002-651605673
Fecha: 2025-07-28
Siniestro Ref: SIN-0007 
Cliente:
Freire Castillo Marco Antonio
Placa:
GYE-8371
C.I./RUC:
1735568594
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0007)
$1865.74
$1865.74
1
Repuestos originales y mano de obra
mecánica
",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0007.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0008.pdf,SIN-0008,TALLER QUITO SUR CÍA.,1792217133001,False,2025-07-17,001-002-803676982,Sánchez Herrera Diego Alejandro Placa: GYE-8371,GYE-8371,10171.3,1525.7,11697.0,False,Legítimo,"Subtotal 15%
$10171.30
IVA 15%
$1525.70
TOTAL A PAGAR
$11697.00
TALLER QUITO SUR CÍA.
Servicios Automotrices Integrales
RUC: 1792217133001
Quito, Ecuador
Tel: (02) 2269732 
FACTURA
Nº: 001-002-803676982
Fecha: 2025-07-17
Siniestro Ref: SIN-0008 
Cliente:
Sánchez Herrera Diego Alejandro Placa:
GYE-8371
C.I./RUC:
1734156327
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0008)
$6102.78
$6102.78
1
Repuestos originales y mano de obr",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0009.pdf,SIN-0009,AUTO SERVICE QUITO NORTE,123456789 - INVÁLIDO,True,2025-07-15,001-002-642739671,Ramírez Peñafiel Carmen Susana,CHB-4472,11955.65,1793.35,20623.5,True,Fraude,"Subtotal 15%
$11955.65
IVA 15%
$1793.35
TOTAL A PAGAR
$20623.50
AUTO SERVICE QUITO NORTE
Servicios Automotrices Integrales
RUC: 123456789 - INVÁLIDO
Quito, Ecuador
Tel: (02) 2358384 
FACTURA
Nº: 001-002-642739671
Fecha: 2025-07-15
Siniestro Ref: SIN-0009 
Cliente:
Ramírez Peñafiel Carmen
Susana
Placa:
CHB-4472
C.I./RUC:
1772473856
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0009)
$7173.39
$7173.39
1
Repuestos originales y ma",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0010.pdf,SIN-0010,TALLER EL NORTE CÍA. LTDA.,1792649274001,False,2025-07-22,001-002-932488070,Flores Castillo Roberto Antonio,GYE-4837,8607.83,1291.17,9899.0,False,Legítimo,"Subtotal 15%
$8607.83
IVA 15%
$1291.17
TOTAL A PAGAR
$9899.00
TALLER EL NORTE CÍA. LTDA.
Servicios Automotrices Integrales
RUC: 1792649274001
Quito, Ecuador
Tel: (02) 2363577 
FACTURA
Nº: 001-002-932488070
Fecha: 2025-07-22
Siniestro Ref: SIN-0010 
Cliente:
Flores Castillo Roberto Antonio
Placa:
GYE-4837
C.I./RUC:
1746819001
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0010)
$5164.70
$5164.70
1
Repuestos originales y mano de ",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0010.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factura,Muestras_Facturas_Siniestros-SIN-0022.pdf,SIN-0022,TALLER NO REGISTRADO — ASOCIADO A RED DE FRAUDE,123456789 - INVÁLIDO,True,2025-07-26,001-002-163546317,Carrillo Cabrera Patricio German,PIC-7293,9001.74,1350.26,15528.0,True,Fraude,"Subtotal 15%
$9001.74
IVA 15%
$1350.26
TOTAL A PAGAR
$15528.00
TALLER NO REGISTRADO — ASOCIADO
A RED DE FRAUDE
Servicios Automotrices Integrales
RUC: 123456789 - INVÁLIDO
Quito, Ecuador
Tel: (02) 2365781 
FACTURA
Nº:
001-002-163546317
Fecha: 2025-07-26
Siniestro Ref:
SIN-0022 
Cliente:
Carrillo Cabrera
Patricio German
Placa:
PIC-7293
C.I./RUC:
1719417225
Vehículo:
SUV Multimarca
Cant.
Descripción
V. Unitario
V. Total
1
Reparación de carrocería y pintura (Siniestro
SIN-0022)
$5401.04
$5401.04
1
R",C:\Users\crist\OneDrive\Escritorio\Cris\Hackaton\hackiathon-aseguradora-del-sur\data\raw\pdfs\facturas\Muestras_Facturas_Siniestros-SIN-0022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
